.	.
я	я
мы	я
меня	я
нас	я
мной	я
мною	я
нами	я
меня	я
нас	я
мне	я
нам	я
мне	я
нас	я
ты	я
вы	я
тебя	я
вас	я
тобой	я
тобою	я
вами	я
тебя	я
вас	я
тебе	я
вам	я
тебе	я
вас	я
он	я
она	я
оно	я
они	я
его	я
ее	я
его	я
него	я
нее	я
него	я
их	я
них	я
им	я
ей	я
им	я
ею	я
ним	я
ней	я
нею	я
ним	я
ими	я
ними	я
его	я
ее	я
его	я
него	я
нее	я
него	я
их	я
них	я
ему	я
ей	я
ему	я
нему	я
ней	я
нему	я
им	я
ним	я
нем	я
ней	я
нем	я
них	я
,	,
в	в
во	в
и	и
не	не
есть	быть
есть	быть
буду	быть
будем	быть
будешь	быть
будете	быть
будет	быть
будут	быть
был	быть
была	быть
было	быть
были	быть
будемте	быть
будь	быть
будьте	быть
на	на
?	?
с	с
со	с
это	это
этого	это
этим	это
это	это
этому	это
этом	это
-	-
но	но
этот	этот
эта	этот
это	этот
эти	этот
этого	этот
этой	этот
этого	этот
этих	этот
этим	этот
этой	этот
этим	этот
этою	этот
этими	этот
этого	этот
этот	этот
эту	этот
это	этот
этих	этот
эти	этот
этому	этот
этой	этот
этому	этот
этим	этот
этом	этот
этой	этот
этом	этот
этих	этот
!	!
NUMBER_	NUMBER_
...	...
к	к
ко	к
а	а
что	что
чего	что
чем	что
что	что
чему	что
чем	что
весь	весь
вся	весь
все	весь
все	весь
всего	весь
всей	весь
всего	весь
всех	весь
всем	весь
всей	весь
всею	весь
всем	весь
всеми	весь
всего	весь
весь	весь
всю	весь
все	весь
всех	весь
все	весь
всему	весь
всей	весь
всему	весь
всем	весь
всем	весь
всей	весь
всем	весь
всех	весь
за	за
по	по
у	у
могу	мочь
можем	мочь
можешь	мочь
можете	мочь
может	мочь
могут	мочь
мог	мочь
могла	мочь
могло	мочь
могли	мочь
моги	мочь
могите	мочь
свой	свой
своя	свой
свое	свой
свои	свой
своего	свой
своей	свой
своего	свой
своих	свой
своим	свой
своей	свой
своею	свой
своим	свой
своими	свой
своего	свой
свой	свой
свою	свой
свое	свой
своих	свой
свои	свой
своему	свой
своей	свой
своему	свой
своим	свой
своем	свой
своей	свой
своем	свой
своих	свой
как	как
и	и
из	из
изо	из
что	что
от	от
ото	от
его	его
же	же
все	все
всего	все
всем	все
все	все
всему	все
всем	все
еще	еще
так	так
;	;
такой	такой
такая	такой
такое	такой
такие	такой
такого	такой
такой	такой
такого	такой
таких	такой
таким	такой
такой	такой
такою	такой
таким	такой
такими	такой
такого	такой
такой	такой
такую	такой
такое	такой
таких	такой
такие	такой
такому	такой
такой	такой
такому	такой
таким	такой
таком	такой
такой	такой
таком	такой
таких	такой
о	о
себя	себя
собой	себя
собою	себя
себя	себя
себе	себя
себе	себя
уже	уже
стану	стать
станем	стать
станешь	стать
станете	стать
станет	стать
станут	стать
стал	стать
стала	стать
стало	стать
стали	стать
стань	стать
станьте	стать
год	год
года	год
годы	год
года	год
годов	год
году	год
годом	год
годами	год
год	год
года	год
годы	год
году	год
годам	год
годе	год
году	год
годах	год
только	только
один	один
одна	один
одно	один
одни	один
одного	один
одной	один
одного	один
одних	один
одним	один
одной	один
одною	один
одним	один
одними	один
одного	один
один	один
одну	один
одно	один
одних	один
одни	один
одному	один
одной	один
одному	один
одним	один
одном	один
одной	один
одном	один
одних	один
для	для
сам	сам
сама	сам
само	сам
сами	сам
самого	сам
самой	сам
самого	сам
самих	сам
самим	сам
самой	сам
самим	сам
самою	сам
самими	сам
самого	сам
